,qNet,drug concentration
0,0.07409709381150353,0.054814080736720804
1,0.07328865383836093,0.18316902417126765
2,0.07078842481531748,0.612085270487275
3,0.0639144339555113,2.045369738299209
4,0.04963229414503822,6.834893100144067
5,0.030558623645423562,22.839765237018213
6,0.010366435542740795,76.32232195584275
7,-0.017453531483124587,255.04194539870034
8,,852.2597565143998
9,,2847.957196040581
10,,9516.968500950514
11,,31803.59123678688
12,,106290.63115928727
13,,355346.3246370694
14,,1189242.4818793165
15,,3994279.260970748
16,,13578714.273101047
17,,48163455.039099425
18,,202526175.14407155
19,,4945727436.687763
