,APD,drug concentration
0,344.56112693363764,5.483933243568516
1,417.9502218335177,14.452971890510597
2,516.9819863624607,38.090981924194374
3,625.9214360875064,100.38924985085382
4,723.0912973142413,264.57714787640003
5,,697.2967876795421
6,,1837.7378436535685
7,,4843.40659615203
8,,12765.040267319506
9,,33643.69605474606
10,,88677.25278699122
11,,233771.72222675555
12,,616537.5340239647
13,,1627881.65410477
14,,4311204.6983737135
15,,11510013.646044182
16,,31411411.202655006
17,,91326869.33366036
18,,330576314.50968534
19,,54416049942.805374
